node_id,node_text_normalized,node_type,mention_count
N750,heritable complex phenotype,Health_factors,1
N751,genetic variants,gene,1
N752,early twin and family studies,method,1
N753,proxy-genetic liability measures,method,1
N754,gene-environment interaction,physiology,1
N755,polygenic risk score,signs,1
N756,polygenic risk score for schizophrenia,signs,1
N757,gene-environment interaction,Health_factors,1
N758,molecular genetic risk state,physiology,1
N759,lifetime regular cannabis,drug,1
N760,lifetime regular cannabis use,Health_factors,1
N761,early-life adversities,Health_factors,1
N762,sexual abuse,disease,1
N763,emotional abuse,disease,1
N764,emotional neglect,Health_factors,1
N765,bullying,Health_factors,1
N766,hearing impairment,disease,1
N767,season of birth,Health_factors,1
N768,winter birth,Health_factors,1
N769,physical abuse,Health_factors,1
N770,physical neglect,Health_factors,1
N771,etiopathogenesis of schizophrenia,disease,1
N772,phq-9,method,1
N773,paid,disease,1
N774,k-10,method,1
N775,gad-7,method,1
N776,hba1c,gene,1
N777,physical well-being,Health_factors,1
N778,phq-15,method,1
N779,il-8,gene,1
N780,il-10,gene,1
N781,tumor necrosis factor,gene,1
N782,tnf,gene,1
N783,c-reactive protein,gene,1
N784,ect,method,1
N785,multimodal multi-center analysis,method,1
N786,electroconvulsive therapy,method,1
N787,brainwide gray matter,region,1
N788,functional changes,symptom,1
N789,inactive adults,Health_factors,1
N790,covid-19 quarantine,Health_factors,1
N791,social media,Health_factors,1
N792,structured online questionnaire,method,1
N793,quarantine,drug,1
N794,nordic questionnaire,method,1
N795,covid-19,disease,1
N796,logistic binary regression,method,1
N797,physically inactive,Health_factors,1
N798,crocin,drug,1
N799,da projection neurons,region,1
N800,vta,region,1
N801,mtor,physiology,1
N802,neural synaptic plasticity,physiology,1
N803,neural synaptic plasticity of mpfc,physiology,1
N804,pd mice,method,1
N805,genotypes,gene,1
N806,serotonin transporter gene,gene,1
N807,slc6a4,gene,1
N808,s / s homozygotes,gene,1
N809,neural correlates,method,1
N810,reproductive lifespan,Health_factors,1
N811,fmri review,method,1
N812,reproductive aging cycle,physiology,1
N813,internal endocrine,physiology,1
N814,emotion-associated brain circuits,region,1
N815,female puberty,physiology,1
N816,premenstrual dysphoric disorder,disease,1
N817,postpartum depression disorder,disease,1
N818,perimenopausal depression disorder,disease,1
N819,psychinfo databases,method,1
N820,functional brain imaging studies,method,1
N821,reproductive cycle-related mood disorder,disease,1
N822,theoretical framework,method,1
